0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
0	384	345	429	641	601	548	481	775	772	919	972	696	559	622	446	572	453	610	818	667				
384	0	428	739	951	416	379	332	590	621	734	821	561	429	521	412	571	487	644	683	623				
384	0	428	739	951	416	379	332	590	621	734	821	561	429	521	412	571	487	644	683	623				
384	0	428	739	951	416	379	332	590	621	734	821	561	429	521	412	571	487	644	683	623				
384	0	428	739	951	416	379	332	590	621	734	821	561	429	521	412	571	487	644	683	623				
345	428	0	311	523	256	203	136	430	427	574	627	351	214	277	101	227	108	265	473	322				
345	428	0	311	523	256	203	136	430	427	574	627	351	214	277	101	227	108	265	473	322				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
429	739	311	0	212	567	514	447	741	738	885	938	662	525	578	412	528	409	553	784	623				
641	951	523	212	0	779	726	659	953	950	1097	1150	874	737	790	624	740	621	765	996	835				
641	951	523	212	0	779	726	659	953	950	1097	1150	874	737	790	624	740	621	765	996	835				
601	416	256	567	779	0	53	120	174	205	318	405	158	191	283	200	333	275	409	280	385				
601	416	256	567	779	0	53	120	174	205	318	405	158	191	283	200	333	275	409	280	385				
601	416	256	567	779	0	53	120	174	205	318	405	158	191	283	200	333	275	409	280	385				
548	379	203	514	726	53	0	67	227	258	371	458	182	138	230	147	280	222	356	304	332				
481	332	136	447	659	120	67	0	294	310	438	510	234	97	189	80	239	155	312	356	291				
481	332	136	447	659	120	67	0	294	310	438	510	234	97	189	80	239	155	312	356	291				
481	332	136	447	659	120	67	0	294	310	438	510	234	97	189	80	239	155	312	356	291				
481	332	136	447	659	120	67	0	294	310	438	510	234	97	189	80	239	155	312	356	291				
481	332	136	447	659	120	67	0	294	310	438	510	234	97	189	80	239	155	312	356	291				
481	332	136	447	659	120	67	0	294	310	438	510	234	97	189	80	239	155	312	356	291				
775	590	430	741	953	174	227	294	0	209	144	285	285	365	457	374	507	449	583	293	559				
919	734	574	885	1097	318	371	438	144	174	0	141	250	387	479	500	529	575	605	258	581				
972	821	627	938	1150	405	458	510	285	200	141	0	276	413	505	526	555	601	631	168	607				
972	821	627	938	1150	405	458	510	285	200	141	0	276	413	505	526	555	601	631	168	607				
696	561	351	662	874	158	182	234	285	76	250	276	0	137	229	250	279	325	355	122	331				
559	429	214	525	737	191	138	97	365	213	387	413	137	0	92	113	142	188	218	259	194				
559	429	214	525	737	191	138	97	365	213	387	413	137	0	92	113	142	188	218	259	194				
622	521	277	578	790	283	230	189	457	305	479	505	229	92	0	184	50	169	126	351	102				
446	412	101	412	624	200	147	80	374	326	500	526	250	113	184	0	194	75	232	372	286				
446	412	101	412	624	200	147	80	374	326	500	526	250	113	184	0	194	75	232	372	286				
572	571	227	528	740	333	280	239	507	355	529	555	279	142	50	194	0	119	76	401	95				
453	487	108	409	621	275	222	155	449	401	575	601	325	188	169	75	119	0	157	447	214				
453	487	108	409	621	275	222	155	449	401	575	601	325	188	169	75	119	0	157	447	214				
453	487	108	409	621	275	222	155	449	401	575	601	325	188	169	75	119	0	157	447	214				
453	487	108	409	621	275	222	155	449	401	575	601	325	188	169	75	119	0	157	447	214				
610	644	265	553	765	409	356	312	583	431	605	631	355	218	126	232	76	157	0	477	108				
818	683	473	784	996	280	304	356	293	84	258	168	122	259	351	372	401	447	477	0	453				
818	683	473	784	996	280	304	356	293	84	258	168	122	259	351	372	401	447	477	0	453				
818	683	473	784	996	280	304	356	293	84	258	168	122	259	351	372	401	447	477	0	453				
667	623	322	623	835	385	332	291	559	407	581	607	331	194	102	286	95	214	108	453	0				
